id,name,year,co2
05053,"Grant County, AR",2017,unknown
05055,"Greene County, AR",2017,unknown
05057,"Hempstead County, AR",2017,unknown
05059,"Hot Spring County, AR",2017,unknown
05061,"Howard County, AR",2017,unknown
05063,"Independence County, AR",2017,unknown
05065,"Izard County, AR",2017,unknown
05067,"Jackson County, AR",2017,unknown
05069,"Jefferson County, AR",2017,unknown
05071,"Johnson County, AR",2017,unknown
05073,"Lafayette County, AR",2017,unknown
05075,"Lawrence County, AR",2017,unknown
05077,"Lee County, AR",2017,unknown
05079,"Lincoln County, AR",2017,unknown
05081,"Little River County, AR",2017,unknown
05083,"Logan County, AR",2017,unknown
05085,"Lonoke County, AR",2017,unknown
05087,"Madison County, AR",2017,unknown
05089,"Marion County, AR",2017,unknown
05091,"Miller County, AR",2017,unknown
05093,"Mississippi County, AR",2017,unknown
05095,"Monroe County, AR",2017,unknown
05097,"Montgomery County, AR",2017,unknown
05099,"Nevada County, AR",2017,unknown
05101,"Newton County, AR",2017,unknown
05103,"Ouachita County, AR",2017,unknown
05105,"Perry County, AR",2017,unknown
05107,"Phillips County, AR",2017,unknown
05109,"Pike County, AR",2017,unknown
05111,"Poinsett County, AR",2017,unknown
05113,"Polk County, AR",2017,unknown
05115,"Pope County, AR",2017,unknown
05117,"Prairie County, AR",2017,unknown
05119,"Pulaski County, AR",2017,unknown
05121,"Randolph County, AR",2017,unknown
05123,"St. Francis County, AR",2017,unknown
05125,"Saline County, AR",2017,unknown
05127,"Scott County, AR",2017,unknown
05129,"Searcy County, AR",2017,unknown
05131,"Sebastian County, AR",2017,unknown
05133,"Sevier County, AR",2017,unknown
05135,"Sharp County, AR",2017,unknown
05137,"Stone County, AR",2017,unknown
05139,"Union County, AR",2017,unknown
05141,"Van Buren County, AR",2017,unknown
05143,"Washington County, AR",2017,unknown
05145,"White County, AR",2017,unknown
05147,"Woodruff County, AR",2017,unknown
05149,"Yell County, AR",2017,unknown
06001,"Alameda County, CA",2017,39929017.55
06003,"Alpine County, CA",2017,73689.46387
06005,"Amador County, CA",2017,778554.4246
06007,"Butte County, CA",2017,3748882.989
06009,"Calaveras County, CA",2017,704411.2462
06011,"Colusa County, CA",2017,697370.301
06013,"Contra Costa County, CA",2017,22390070.96
06015,"Del Norte County, CA",2017,383048.6835
06017,"El Dorado County, CA",2017,3137945.79
06019,"Fresno County, CA",2017,15420042.29
06021,"Glenn County, CA",2017,543371.4852
06023,"Humboldt County, CA",2017,2489745.698
06025,"Imperial County, CA",2017,3286951.137
06027,"Inyo County, CA",2017,668601.2239
06029,"Kern County, CA",2017,15718890.59
06031,"Kings County, CA",2017,2438102.976
06033,"Lake County, CA",2017,923743.9806
06035,"Lassen County, CA",2017,604692.6016
06037,"Los Angeles County, CA",2017,201186077.7
06039,"Madera County, CA",2017,2435400.94
06041,"Marin County, CA",2017,8897935.605
06043,"Mariposa County, CA",2017,421737.0403
06045,"Mendocino County, CA",2017,1676002.693
06047,"Merced County, CA",2017,3526519.78
06049,"Modoc County, CA",2017,220917.6862
06051,"Mono County, CA",2017,621194.0629
06053,"Monterey County, CA",2017,9570188.476
06055,"Napa County, CA",2017,4069326.795
06057,"Nevada County, CA",2017,1819910.398
06059,"Orange County, CA",2017,68742468.4
06061,"Placer County, CA",2017,7812663.192
06063,"Plumas County, CA",2017,635657.733
06065,"Riverside County, CA",2017,26615388.5
06067,"Sacramento County, CA",2017,28144878.66
06069,"San Benito County, CA",2017,982227.2989
06071,"San Bernardino County, CA",2017,30966323.4
06073,"San Diego County, CA",2017,69081325.42
06075,"San Francisco County/city, CA",2017,56192679.06
06077,"San Joaquin County, CA",2017,10001162.41
06079,"San Luis Obispo County, CA",2017,6483107.653
06081,"San Mateo County, CA",2017,40122645.32
06083,"Santa Barbara County, CA",2017,10100680.06
06085,"Santa Clara County, CA",2017,94262264
06087,"Santa Cruz County, CA",2017,5094883.614
06089,"Shasta County, CA",2017,3457301.664
06091,"Sierra County, CA",2017,63432.97544
06093,"Siskiyou County, CA",2017,879623.7476
06095,"Solano County, CA",2017,7931456.755
06097,"Sonoma County, CA",2017,10372417.07
06099,"Stanislaus County, CA",2017,7993603.835
06101,"Sutter County, CA",2017,1449336.829
